##   expt    idm    jdm    kdm  itest  jtest yrflag   year    day     hr
##     10     57     52     22     38     17      0   0011    016     00
## model-day  srfhgt  surflx     dpbl   dpmixl    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#    3600.00    7.89   -89.1   23.639   24.467  25.708  35.431  23.453  -20.09    2.05   -0.32    0.04
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1  -25.32   -2.32  25.720  35.430  23.448    3.000     1.500  103.78  138.73
   2  -23.60   -0.39  25.718  35.430  23.449    3.375     4.688  154.90  206.89
   3  -22.44    0.69  25.714  35.430  23.450    3.797     8.273  151.41  201.90
   4  -21.32    1.49  25.707  35.431  23.452    4.271    12.308  101.77  135.12
   5  -19.95    2.43  25.700  35.431  23.455    4.805    16.846   32.61   42.31
   6  -15.89    9.01  25.697  35.433  23.457    7.550    23.024    1.05    0.16
   7   -5.72    0.98  25.089  35.834  23.946   19.712    36.654    1.00    0.10
   8   -6.13   -0.27  23.052  35.970  24.656   17.487    55.254    1.00    0.10
   9   -3.48    0.08  20.729  35.906  25.260   20.925    74.460    1.00    0.10
  10   -1.57   -1.77  18.526  35.791  25.751   25.599    97.722    1.00    0.10
  11    0.17   -1.81  16.243  35.625  26.179   26.754   123.899    1.00    0.10
  12   -1.40   -1.17  14.236  35.485  26.518   70.280   172.416    1.00    0.10
  13   -0.59   -0.80  12.520  35.391  26.798   95.226   255.169    1.00    0.10
  14   -0.68   -0.82  10.145  35.122  27.028  137.324   371.444    1.00    0.10
  15   -0.29   -0.70   7.877  34.902  27.219  190.797   535.504    1.00    0.10
  16    0.02   -0.31   6.081  34.792  27.380  260.845   761.325    1.00    0.10
  17    0.13    0.28   5.279  34.843  27.519  254.772  1019.134    1.00    0.10
  18    0.08    0.64   4.832  34.928  27.638  264.223  1278.631    1.00    0.10
  19   -0.79   -0.01   4.496  35.007  27.738  320.499  1570.992    1.00    0.10
  20    0.21    0.56   3.540  34.983  27.820  774.100  2118.291    1.00    0.10
  21   -0.07   -0.03   2.471  34.935  27.880 1928.295  3469.489    1.00    0.10
  22   -0.05   -0.04   2.086  34.969  27.940  231.688  4549.480    1.00    0.10
