##   expt    idm    jdm    kdm  itest  jtest yrflag   year    day     hr
##     10     57     52     22     38     17      0   0020    196     00
## model-day  srfhgt  surflx     dpbl   dpmixl    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#    7020.00    8.17    65.6    8.444   10.264  28.419  35.890  22.934   -6.88    8.35    0.20    0.14
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1  -10.43    6.12  28.432  35.893  22.932    3.000     1.500   16.35   16.00
   2   -9.59    8.33  28.431  35.891  22.931    3.375     4.688   10.02    9.21
   3   -5.42   11.55  28.408  35.888  22.936    3.797     8.273    1.26    0.36
   4    6.58   14.57  27.997  35.877  23.062    4.271    12.308    1.00    0.10
   5    9.20   13.61  27.319  35.892  23.292    4.805    16.846    1.00    0.10
   6   -0.01   15.64  26.473  35.903  23.569    5.406    21.952    1.00    0.10
   7    5.82    7.04  25.234  35.865  23.926   20.689    34.999    1.00    0.10
   8    1.87    0.20  22.890  35.930  24.673   15.900    53.294    1.00    0.10
   9    4.32    1.81  20.696  35.878  25.248   23.038    72.763    1.00    0.10
  10    1.71    3.74  18.365  35.760  25.768   23.602    96.082    1.00    0.10
  11    0.52    0.86  16.169  35.602  26.178   35.833   125.799    1.00    0.10
  12    0.41    0.85  14.103  35.448  26.519   69.236   178.334    1.00    0.10
  13   -0.03    0.47  12.083  35.281  26.798   81.756   253.829    1.00    0.10
  14    1.19    0.14   9.877  35.064  27.028  136.669   363.042    1.00    0.10
  15    0.67   -0.02   7.722  34.873  27.218  181.646   522.199    1.00    0.10
  16    0.86   -0.34   6.046  34.785  27.379  260.122   743.083    1.00    0.10
  17    0.90   -0.05   5.248  34.838  27.518  293.857  1020.072    1.00    0.10
  18    0.47    0.04   4.836  34.929  27.638  268.528  1301.264    1.00    0.10
  19   -0.38   -0.28   4.484  35.005  27.738  268.600  1569.828    1.00    0.10
  20    0.13   -0.07   3.564  34.986  27.819  850.965  2129.611    1.00    0.10
  21   -0.15    0.03   2.481  34.936  27.880 1850.473  3480.330    1.00    0.10
  22   -0.04    0.05   2.180  34.978  27.939  259.758  4535.445    1.00    0.10
