##   expt    idm    jdm    kdm  itest  jtest yrflag   year    day     hr
##     10     57     52     22     38     17      0   0021    016     00
## model-day  srfhgt  surflx     dpbl   dpmixl    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#    7200.00   10.64   -86.1   24.980   26.137  25.633  35.455  23.493  -13.29    9.90   -0.19    0.05
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1  -18.32    5.66  25.646  35.454  23.489    3.000     1.500  106.35  142.00
   2  -16.62    7.56  25.645  35.454  23.489    3.375     4.688  163.88  218.12
   3  -15.47    8.64  25.641  35.454  23.491    3.797     8.273  169.15  223.88
   4  -14.38    9.47  25.635  35.454  23.493    4.271    12.308  127.14  166.28
   5  -13.08   10.64  25.628  35.455  23.495    4.805    16.846   57.56   72.37
   6   -9.65   13.20  25.620  35.456  23.498   10.004    24.251    1.33    0.45
   7   -1.37   -0.66  25.083  35.857  23.966   23.337    40.921    1.00    0.10
   8    1.25    3.80  23.087  35.983  24.656   18.576    61.878    1.00    0.10
   9   -5.75   -5.24  20.707  35.895  25.258   16.984    79.658    1.00    0.10
  10    0.41    1.36  18.368  35.763  25.769   26.509   101.404    1.00    0.10
  11   -0.95   -0.67  16.144  35.596  26.179   39.243   134.280    1.00    0.10
  12   -0.75   -1.68  14.083  35.443  26.519   67.349   187.576    1.00    0.10
  13   -0.99   -1.10  12.056  35.275  26.798   82.972   262.736    1.00    0.10
  14   -0.38   -0.72   9.861  35.060  27.028  138.639   373.541    1.00    0.10
  15   -0.24   -0.71   7.706  34.869  27.218  182.924   534.323    1.00    0.10
  16   -0.09   -0.45   6.039  34.784  27.379  257.615   754.592    1.00    0.10
  17    0.31    0.31   5.248  34.838  27.518  297.414  1032.107    1.00    0.10
  18    0.29    0.50   4.835  34.928  27.638  260.437  1311.032    1.00    0.10
  19   -0.83    0.25   4.481  35.004  27.738  269.204  1575.853    1.00    0.10
  20    0.18    0.39   3.563  34.986  27.819  847.749  2134.329    1.00    0.10
  21   -0.06   -0.08   2.481  34.936  27.880 1849.296  3482.852    1.00    0.10
  22   -0.22   -0.00   2.187  34.979  27.939  257.823  4536.412    1.00    0.10
