##   expt    idm    jdm    kdm  itest  jtest yrflag   year    day     hr
##     15     57     52     22     38     17      0   0020    196     00
## model-day  srfhgt  surflx     dpbl   dpmixl    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#    7020.00    6.60    70.5    8.586   13.775  28.173  35.880  23.007   -2.60   14.95    0.38    0.18
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1   -3.69   13.00  28.179  35.882  23.007    3.000     1.500   31.94   31.55
   2   -3.38   15.15  28.177  35.881  23.006    3.375     4.688   38.72   37.91
   3   -2.98   16.87  28.174  35.880  23.007    3.797     8.273   14.37   13.48
   4   -2.45   19.41  28.164  35.878  23.009    4.271    12.308    1.00    0.10
   5    2.42   16.79  27.565  35.880  23.204    4.805    16.846    1.00    0.10
   6   -5.47    5.82  26.943  35.947  23.454    7.443    22.970    1.00    0.10
   7    2.76    1.09  25.116  35.839  23.943   23.894    38.639    1.00    0.10
   8    5.89    2.64  23.213  36.007  24.637   16.224    58.698    1.00    0.10
   9    7.75    1.34  21.126  35.965  25.197   12.551    73.085    1.00    0.10
  10    4.03    2.19  18.684  35.825  25.737   20.607    89.664    1.00    0.10
  11    1.33    0.23  16.244  35.626  26.178   26.665   113.301    1.00    0.10
  12    1.29    1.31  14.028  35.429  26.519   40.464   146.865    1.00    0.10
  13   -0.20   -0.12  11.801  35.212  26.798   80.755   207.474    1.00    0.10
  14    1.17    0.36   9.698  35.025  27.028  221.354   358.529    1.00    0.10
  15    1.65   -0.11   8.084  34.942  27.219  107.290   522.851    1.00    0.10
  16    0.71   -0.43   6.420  34.846  27.378  219.901   686.446    1.00    0.10
  17    0.81   -0.06   5.531  34.880  27.518  250.490   921.641    1.00    0.10
  18    1.83    1.19   4.688  34.907  27.638  495.110  1294.441    1.00    0.10
  19   -1.40   -0.93   4.217  34.969  27.738  609.442  1846.717    1.00    0.10
  20    3.60    2.41   3.541  34.982  27.819  269.577  2286.226    1.00    0.10
  21   -0.07   -0.29   2.457  34.933  27.880 1929.416  3385.722    1.00    0.10
  22   -0.25    0.26   2.236  34.984  27.939  314.893  4507.877    1.00    0.10
