##   expt    idm    jdm    kdm  itest  jtest yrflag   year    day     hr
##     15     57     52     22     38     17      0   0021    016     00
## model-day  srfhgt  surflx     dpbl   dpmixl    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#    7200.00   11.10  -110.5   32.685   33.934  26.249  35.510  23.344   -0.42   12.27    0.33    0.02
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1   -5.98    9.23  26.261  35.509  23.340    3.000     1.500  119.49  169.37
   2   -4.35   11.07  26.262  35.509  23.339    3.375     4.688  202.74  291.93
   3   -3.30   12.10  26.260  35.510  23.340    3.797     8.273  236.87  340.93
   4   -2.34   12.87  26.256  35.510  23.341    4.271    12.308  220.85  317.60
   5   -1.30   13.83  26.251  35.510  23.343    4.805    16.846  158.89  228.04
   6    2.69   11.68  26.237  35.511  23.349   25.625    32.061    1.01    0.12
   7    6.03   -6.19  25.389  35.964  23.953   15.686    52.717    1.00    0.10
   8    9.39    4.08  23.490  36.057  24.594   18.277    69.699    1.00    0.10
   9    5.89    0.37  21.181  35.984  25.196   12.276    84.975    1.00    0.10
  10    3.56   -0.67  18.607  35.795  25.734   19.180   100.703    1.00    0.10
  11    2.12    0.21  16.192  35.610  26.178   26.553   123.569    1.00    0.10
  12    1.46   -0.12  14.025  35.427  26.519   39.949   156.820    1.00    0.10
  13   -1.15   -0.34  11.782  35.207  26.798   85.904   219.746    1.00    0.10
  14    0.98   -0.85   9.694  35.024  27.028  210.493   367.944    1.00    0.10
  15    1.01   -0.73   8.067  34.939  27.220  111.934   529.158    1.00    0.10
  16    0.07   -0.72   6.414  34.845  27.379  218.050   694.150    1.00    0.10
  17    0.89   -0.61   5.540  34.882  27.518  247.434   926.892    1.00    0.10
  18    1.80    0.64   4.698  34.909  27.638  484.597  1292.907    1.00    0.10
  19   -1.75   -1.02   4.212  34.968  27.738  633.217  1851.814    1.00    0.10
  20    3.15    3.15   3.543  34.983  27.819  275.572  2306.209    1.00    0.10
  21    0.10   -0.30   2.458  34.933  27.880 1911.000  3399.495    1.00    0.10
  22   -0.58    0.18   2.243  34.985  27.939  310.329  4510.159    1.00    0.10
