##   expt    idm    jdm    kdm  itest  jtest  lontst  lattst yrflag   year    day     hr
##     16     57     52     22     38     17   337.0    11.9      0   0020    196     00
## model-day  srfhgt  sswflx  mixflx  surflx  sstflx      E-P   sssE-P  bhtflx  buoflx    ustar   hekman    dpbbl     dpbl   dpmixl   tclim   sclim    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#    7020.00    4.78   194.6    26.5    76.7    -7.3     1.54     1.54 -0.0212 -0.0165  0.00377   87.791    0.000    7.765   15.948  26.655  36.047  27.790  35.946  23.181   -1.80   -0.22    0.11    0.04
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1   -3.48   -2.73  27.873  35.961  23.165    3.000     1.500   36.25   36.08
   2   -3.25   -2.27  27.872  35.960  23.165    3.375     4.688    6.09    5.19
   3   -2.62   -1.71  27.865  35.958  23.166    3.797     8.273    1.00    0.10
   4   -1.20    5.39  27.695  35.924  23.195    4.271    12.308    1.02    0.12
   5    5.11    7.53  27.526  35.914  23.242    4.805    16.846    1.00    0.10
   6   -0.39    0.36  26.946  35.883  23.405    7.117    22.807    1.00    0.10
   7    0.24   -1.06  24.908  35.832  24.000   15.977    34.355    1.00    0.10
   8   -1.08   -0.79  22.569  35.844  24.700   12.885    48.785    1.00    0.10
   9    0.14   -0.73  20.373  35.806  25.280    6.111    58.283    1.00    0.10
  10    2.19    2.82  18.318  35.747  25.770   20.906    71.791    1.00    0.10
  11    0.47    1.21  16.206  35.616  26.180   27.650    96.069    1.00    0.10
  12    0.59    0.91  14.064  35.440  26.520   61.777   140.783    1.00    0.10
  13    1.01    0.41  11.872  35.232  26.800  127.352   235.348    1.00    0.10
  14    0.61    0.26   9.857  35.062  27.030  186.647   392.348    1.00    0.10
  15    0.57   -0.14   7.695  34.870  27.220  192.026   581.684    1.00    0.10
  16    0.60   -0.13   6.075  34.792  27.380  271.440   813.417    1.00    0.10
  17    0.13    0.14   5.410  34.864  27.520  185.927  1042.101    1.00    0.10
  18    0.08   -0.13   4.769  34.921  27.640  218.288  1244.208    1.00    0.10
  19   -0.04   -0.08   4.294  34.981  27.740  402.560  1554.632    1.00    0.10
  20    0.09    0.09   3.512  34.980  27.820  800.681  2156.252    1.00    0.10
  21   -0.04   -0.07   2.543  34.943  27.880 1694.384  3403.785    1.00    0.10
  22   -0.18    0.14   2.221  34.983  27.940  414.347  4458.150    1.00    0.10
