##   expt    idm    jdm    kdm  itest  jtest  lontst  lattst yrflag   year    day     hr
##     16     57     52     22     38     17   337.0    11.9      0   0021    016     00
## model-day  srfhgt  sswflx  mixflx  surflx  sstflx      E-P   sssE-P  bhtflx  buoflx    ustar   hekman    dpbbl     dpbl   dpmixl   tclim   sclim    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#    7200.00    8.43   154.4  -100.6   -88.0    -9.0     1.43     1.43  0.0766  0.0809  0.00851  197.977    0.000   30.836   40.776  24.336  35.570  25.822  35.497  23.467   -2.39    3.77   -0.18    0.05
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1   -8.12    0.55  25.851  35.491  23.453    3.000     1.500  114.02  156.24
   2   -6.49    2.45  25.852  35.491  23.453    3.375     4.688  188.13  258.99
   3   -5.42    3.52  25.849  35.491  23.454    3.797     8.273  214.37  294.95
   4   -4.45    4.33  25.844  35.491  23.456    4.271    12.308  191.80  263.60
   5   -3.35    5.47  25.839  35.491  23.457    4.805    16.846  127.45  174.67
   6    0.35    3.38  25.826  35.492  23.462   20.875    29.686    1.00    0.11
   7   -4.12    1.03  24.944  35.846  24.000   13.513    46.880    1.00    0.10
   8   -2.73    1.31  22.642  35.872  24.700    8.902    58.087    1.00    0.10
   9   -0.31   -1.25  20.436  35.828  25.280   11.775    68.426    1.00    0.10
  10   -0.58   -0.29  18.290  35.738  25.770   16.584    82.606    1.00    0.10
  11   -0.70   -0.07  16.195  35.613  26.180   28.532   105.164    1.00    0.10
  12   -0.33   -0.22  14.050  35.436  26.520   61.335   150.097    1.00    0.10
  13   -0.46   -0.41  11.858  35.228  26.800  127.656   244.593    1.00    0.10
  14   -0.37   -0.55   9.856  35.062  27.030  184.214   400.528    1.00    0.10
  15   -0.27   -0.60   7.702  34.871  27.220  189.623   587.446    1.00    0.10
  16   -0.08   -0.30   6.077  34.792  27.380  270.453   817.484    1.00    0.10
  17   -0.27    0.15   5.407  34.864  27.520  185.631  1045.526    1.00    0.10
  18   -0.15   -0.06   4.765  34.921  27.640  218.852  1247.767    1.00    0.10
  19   -0.22   -0.04   4.292  34.981  27.740  410.121  1562.254    1.00    0.10
  20    0.08    0.22   3.511  34.980  27.820  809.090  2171.859    1.00    0.10
  21   -0.10    0.06   2.544  34.943  27.880 1668.207  3410.508    1.00    0.10
  22   -0.34    0.37   2.232  34.984  27.940  420.713  4454.967    1.00    0.10
