##   expt    idm    jdm    kdm  itest  jtest  lontst  lattst yrflag   year    day     hr
##     20     57     52     22     38     17   337.0    11.9      0   0020    016     00
## model-day  srfhgt  sswflx  mixflx  surflx  sstflx      E-P   sssE-P  bhtflx  buoflx    ustar   hekman    dpbbl     dpbl   dpmixl   tclim   sclim    tmix    smix   thmix    umix    vmix   ubavg   vbavg
#  6840.000    2.85   207.5   -72.1   -53.8    -7.7     0.77     0.77  0.0548  0.0572  0.00847  196.884    0.000   29.251   31.957  24.336  35.570  25.780  35.516  23.495   -2.85    1.76   -0.07    0.09
#  k    utot    vtot    temp    saln    dens    thkns      dpth  viscty  t-diff
   1   -8.43   -1.16  25.800  35.516  23.488    3.000     1.500  105.50  136.10
   2   -6.65    0.57  25.799  35.516  23.488    3.375     4.688  170.29  219.66
   3   -5.53    1.52  25.794  35.516  23.490    3.797     8.273  189.10  243.88
   4   -4.52    2.18  25.787  35.516  23.492    4.271    12.308  161.90  208.73
   5   -3.43    2.67  25.780  35.516  23.494    4.805    16.846   98.74  127.17
   6    0.65    2.28  25.763  35.517  23.500   19.027    28.762    0.30    0.10
   7   -0.04   -3.08  24.829  35.800  24.000    7.530    42.041    0.30    0.10
   8    1.24   -4.87  22.802  35.929  24.697   10.417    51.014    0.30    0.10
   9   -3.27   -1.60  20.567  35.872  25.278    8.673    60.559    0.30    0.10
  10   -0.80   -1.01  18.388  35.769  25.769   15.340    72.566    0.30    0.10
  11   -0.47   -0.02  16.197  35.613  26.179   20.943    90.708    0.30    0.10
  12   -0.53   -0.04  13.859  35.378  26.516   76.358   139.358    0.30    0.10
  13    0.00   -0.26  11.188  35.153  26.867   77.480   216.277    0.30    0.10
  14   -0.64    0.02   9.763  35.042  27.030  215.897   362.965    0.30    0.10
  15   -0.37   -0.27   7.737  34.877  27.220  201.831   571.829    0.30    0.10
  16   -0.16   -0.04   6.104  34.796  27.380  257.207   801.349    0.30    0.10
  17    0.13    0.42   5.320  34.851  27.520  210.430  1035.167    0.30    0.10
  18    0.08    0.39   4.774  34.922  27.640  214.542  1247.653    0.30    0.10
  19   -0.19    0.29   4.310  34.983  27.740  417.775  1563.812    0.30    0.10
  20    0.09    0.35   3.523  34.982  27.820  773.767  2159.583    0.30    0.10
  21    0.07   -0.04   2.598  34.949  27.880 1742.983  3417.958    0.30    0.10
  22   -0.18    0.12   2.281  34.990  27.940  375.874  4477.387    0.30    0.10
