     +,0.,0.,0.,0.,0.,0.,0.,0.,7.,54.,152.,217.,443.,938.,6000.
     +,0.,0.,0.,0.,0.,0.,0.,0.,7.,54.,152.,217.,443.,938.,6000.
     +,0.,0.,0.,0.,0.,0.,0.,0.,7.,54.,152.,217.,443.,938.,6000.
     +,0.,0.,0.,0.,0.,0.,0.,2.,25.,76.,145.,193.,393.,947.,6000.
     +,0.,0.,0.,0.,0.,0.,6.,33.,74.,98.,122.,160.,339.,990.,6000.
     +,0.,0.,0.,0.,0.,0.,20.,43.,68.,77.,96.,139.,380.,933.,6000.
     +,1.,1.,1.,1.,2.,10.,37.,51.,66.,74.,92.,130.,413.,901.,6000.
     +,1.,2.,2.,4.,9.,39.,57.,65.,78.,87.,103.,145.,348.,895.,6000.
     +,0.,0.,3.,5.,10.,25.,43.,61.,76.,89.,111.,147.,296.,909.,6000.
     +,0.,0.,1.,3.,7.,20.,39.,59.,90.,113.,144.,191.,366.,881.,6000.
     +,0.,0.,0.,0.,2.,19.,36.,48.,76.,111.,162.,228.,472.,820.,6000.
     +,0.,0.,0.,0.,2.,7.,19.,28.,45.,71.,132.,223.,536.,794.,6000.
     +,0.,0.,0.,1.,1.,2.,7.,16.,27.,46.,85.,203.,602.,828.,6000.
     +,0.,0.,0.,0.,0.,1.,2.,11.,21.,37.,66.,147.,529.,868.,6000.
     +,0.,0.,0.,0.,0.,0.,1.,7.,12.,24.,47.,89.,286.,812.,6000.
     +,0.,0.,0.,0.,0.,1.,2.,3.,6.,10.,23.,59.,111.,676.,6000.
     +,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,3.,22.,74.,434.,6000.
     +,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,4.,37.,203.,6000.
     +,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,10.,133.,6000.
     +,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,12.,108.,6000.
     +
